model_name,timestamp,MSE,RMSE,MAE,MAPE,R²,SMAPE,Bias
Random Forest,2025-10-27T16:17:37.449739,604.2362271525765,24.58121695833175,19.40914279420832,10.633990900226486,0.2984280534084601,10.501226986761981,-1.2276559852064386
XGBoost,2025-10-27T16:17:37.667614,759.4931602842395,27.558903466651923,21.606063459904654,11.35362475781382,0.11816095934111137,11.63005138220103,-6.754063607877297
Gradient Boosting,2025-10-27T16:17:38.108364,644.6700399380544,25.39035328501859,20.191156356919336,10.540097994590107,0.2514808041882265,10.89283452850077,-9.464204204923007
